STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
        691;2022121800;   10;   1.1; 150;eor
        691;2022121801;   10;   1.1; 160;eor
        691;2022121802;   10;   1.1; 140;eor
        691;2022121803;   10;   1.2; 140;eor
        691;2022121804;   10;   1.4; 140;eor
        691;2022121805;   10;   1.2; 130;eor
        691;2022121806;   10;   1.5; 130;eor
        691;2022121807;   10;   1.6; 130;eor
        691;2022121808;   10;   1.8; 130;eor
        691;2022121809;   10;   2.0; 130;eor
        691;2022121810;   10;   2.1; 130;eor
        691;2022121811;   10;   2.1; 120;eor
        691;2022121812;   10;   2.4; 120;eor
        691;2022121813;   10;   3.2; 130;eor
        691;2022121814;   10;   4.8; 120;eor
        691;2022121815;   10;   6.2; 120;eor
        691;2022121816;   10;   5.8; 120;eor
        691;2022121817;   10;   6.7; 130;eor
        691;2022121818;   10;   6.6; 120;eor
        691;2022121819;   10;   6.6; 130;eor
        691;2022121820;   10;   6.2; 130;eor
        691;2022121821;   10;   4.5; 140;eor
        691;2022121822;   10;   4.2; 130;eor
        691;2022121823;   10;   3.5; 130;eor
        691;2022121900;   10;   4.0; 140;eor
        691;2022121901;   10;   4.1; 150;eor
        691;2022121902;   10;   4.5; 160;eor
        691;2022121903;   10;   4.9; 150;eor
        691;2022121904;   10;   4.8; 150;eor
        691;2022121905;   10;   5.0; 150;eor
        691;2022121906;   10;   4.6; 150;eor
        691;2022121907;   10;   5.0; 150;eor
        691;2022121908;   10;   4.9; 150;eor
        691;2022121909;   10;   5.2; 160;eor
        691;2022121910;   10;   4.6; 160;eor
        691;2022121911;   10;   4.8; 170;eor
        691;2022121912;   10;   4.3; 190;eor
        691;2022121913;   10;   4.5; 190;eor
        691;2022121914;   10;   5.1; 200;eor
        691;2022121915;   10;   5.3; 200;eor
        691;2022121916;   10;   4.6; 190;eor
        691;2022121917;   10;   4.2; 180;eor
        691;2022121918;   10;   4.2; 190;eor
        691;2022121919;   10;   4.7; 190;eor
        691;2022121920;   10;   5.2; 200;eor
        691;2022121921;   10;   4.7; 200;eor
        691;2022121922;   10;   3.6; 190;eor
        691;2022121923;   10;   3.4; 190;eor
        691;2022122000;   10;   3.5; 190;eor
        691;2022122001;   10;   3.1; 180;eor
        691;2022122002;   10;   3.5; 190;eor
        691;2022122003;   10;   3.7; 190;eor
        691;2022122004;   10;   3.1; 180;eor
        691;2022122005;   10;   3.6; 190;eor
        691;2022122006;   10;   5.6; 200;eor
        691;2022122007;   10;   5.0; 190;eor
        691;2022122008;   10;   4.6; 180;eor
        691;2022122009;   10;   4.9; 190;eor
        691;2022122010;   10;   5.1; 190;eor
        691;2022122011;   10;   5.2; 190;eor
        691;2022122012;   10;   5.5; 200;eor
        691;2022122013;   10;   4.7; 200;eor
        691;2022122014;   10;   4.6; 200;eor
        691;2022122015;   10;   3.9; 200;eor
        691;2022122016;   10;   4.6; 210;eor
        691;2022122017;   10;   4.4; 210;eor
        691;2022122018;   10;   3.6; 210;eor
        691;2022122019;   10;   3.8; 210;eor
        691;2022122020;   10;   3.2; 210;eor
        691;2022122021;   10;   2.9; 200;eor
        691;2022122022;   10;   2.9; 200;eor
        691;2022122023;   10;   2.6; 210;eor
        691;2022122100;   10;   2.5; 200;eor
        691;2022122101;   10;   2.4; 220;eor
        691;2022122102;   10;   1.8; 240;eor
        691;2022122103;   10;   1.8; 250;eor
        691;2022122104;   10;   1.8; 250;eor
        691;2022122105;   10;   2.2; 240;eor
        691;2022122106;   10;   1.4; 220;eor
        691;2022122107;   10;   0.7; 190;eor
        691;2022122108;   10;   1.5; 210;eor
        691;2022122109;   10;   1.6; 190;eor
        691;2022122110;   10;   1.9; 200;eor
        691;2022122111;   10;   2.4; 230;eor
        691;2022122112;   10;   3.5; 240;eor
        691;2022122113;   10;   3.4; 230;eor
        691;2022122114;   10;   3.1; 210;eor
        691;2022122115;   10;   3.3; 210;eor
        691;2022122116;   10;   3.0; 190;eor
        691;2022122117;   10;   3.4; 200;eor
        691;2022122118;   10;   2.7; 190;eor
        691;2022122119;   10;   2.4; 190;eor
        691;2022122120;   10;   3.3; 200;eor
        691;2022122121;   10;   2.5; 190;eor
        691;2022122122;   10;   2.8; 200;eor
        691;2022122123;   10;   2.6; 180;eor
        691;2022122200;   10;   3.4; 190;eor
        691;2022122201;   10;   3.1; 180;eor
        691;2022122202;   10;   2.8; 180;eor
