STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
        691;2022121800;    3;  -8.9;  91.0;eor
        691;2022121801;    3;  -9.5;  93.0;eor
        691;2022121802;    3;  -8.5;  92.0;eor
        691;2022121803;    3;  -8.5;  92.0;eor
        691;2022121804;    3;  -7.7;  88.0;eor
        691;2022121805;    3;  -7.9;  89.0;eor
        691;2022121806;    3;  -8.4;  88.0;eor
        691;2022121807;    3;  -8.2;  87.0;eor
        691;2022121808;    3;  -8.3;  87.0;eor
        691;2022121809;    3;  -7.4;  86.0;eor
        691;2022121810;    3;  -6.2;  85.0;eor
        691;2022121811;    3;  -5.3;  82.0;eor
        691;2022121812;    3;  -3.2;  80.0;eor
        691;2022121813;    3;  -2.9;  80.0;eor
        691;2022121814;    3;  -2.6;  79.0;eor
        691;2022121815;    3;  -2.0;  76.0;eor
        691;2022121816;    3;  -2.1;  73.0;eor
        691;2022121817;    3;  -2.3;  72.0;eor
        691;2022121818;    3;  -2.3;  73.0;eor
        691;2022121819;    3;  -1.8;  72.0;eor
        691;2022121820;    3;  -1.7;  72.0;eor
        691;2022121821;    3;  -1.6;  72.0;eor
        691;2022121822;    3;  -1.4;  72.0;eor
        691;2022121823;    3;  -1.3;  74.0;eor
        691;2022121900;    3;  -0.8;  75.0;eor
        691;2022121901;    3;   0.0;  76.0;eor
        691;2022121902;    3;   0.2;  83.0;eor
        691;2022121903;    3;   0.5;  87.0;eor
        691;2022121904;    3;   1.1;  87.0;eor
        691;2022121905;    3;   1.4;  90.0;eor
        691;2022121906;    3;   1.8;  90.0;eor
        691;2022121907;    3;   2.1;  93.0;eor
        691;2022121908;    3;   2.3;  95.0;eor
        691;2022121909;    3;   2.6;  95.0;eor
        691;2022121910;    3;   3.3;  97.0;eor
        691;2022121911;    3;   4.8;  97.0;eor
        691;2022121912;    3;   6.0;  95.0;eor
        691;2022121913;    3;   6.8;  94.0;eor
        691;2022121914;    3;   7.5;  93.0;eor
        691;2022121915;    3;   7.8;  92.0;eor
        691;2022121916;    3;   8.1;  90.0;eor
        691;2022121917;    3;   7.4;  90.0;eor
        691;2022121918;    3;   7.3;  90.0;eor
        691;2022121919;    3;   7.8;  83.0;eor
        691;2022121920;    3;   7.7;  82.0;eor
        691;2022121921;    3;   7.3;  82.0;eor
        691;2022121922;    3;   7.3;  82.0;eor
        691;2022121923;    3;   6.6;  85.0;eor
        691;2022122000;    3;   7.2;  85.0;eor
        691;2022122001;    3;   7.4;  86.0;eor
        691;2022122002;    3;   8.8;  84.0;eor
        691;2022122003;    3;   8.7;  85.0;eor
        691;2022122004;    3;   8.6;  85.0;eor
        691;2022122005;    3;   9.5;  84.0;eor
        691;2022122006;    3;   9.3;  91.0;eor
        691;2022122007;    3;   8.8;  93.0;eor
        691;2022122008;    3;   9.3;  87.0;eor
        691;2022122009;    3;  10.1;  86.0;eor
        691;2022122010;    3;  10.3;  84.0;eor
        691;2022122011;    3;  10.8;  80.0;eor
        691;2022122012;    3;  10.6;  82.0;eor
        691;2022122013;    3;  10.5;  88.0;eor
        691;2022122014;    3;   9.9;  94.0;eor
        691;2022122015;    3;  10.3;  89.0;eor
        691;2022122016;    3;  10.6;  87.0;eor
        691;2022122017;    3;  10.3;  90.0;eor
        691;2022122018;    3;  10.0;  93.0;eor
        691;2022122019;    3;  10.0;  95.0;eor
        691;2022122020;    3;   9.7;  96.0;eor
        691;2022122021;    3;   9.6;  97.0;eor
        691;2022122022;    3;   9.3;  98.0;eor
        691;2022122023;    3;   9.1;  99.0;eor
        691;2022122100;    3;   9.1;  98.0;eor
        691;2022122101;    3;   8.6; 100.0;eor
        691;2022122102;    3;   8.4;  99.0;eor
        691;2022122103;    3;   7.5; 100.0;eor
        691;2022122104;    3;   6.4;  99.0;eor
        691;2022122105;    3;   6.8; 100.0;eor
        691;2022122106;    3;   5.9; 100.0;eor
        691;2022122107;    3;   5.6; 100.0;eor
        691;2022122108;    3;   6.5; 100.0;eor
        691;2022122109;    3;   6.9; 100.0;eor
        691;2022122110;    3;   7.4; 100.0;eor
        691;2022122111;    3;   7.9;  96.0;eor
        691;2022122112;    3;   8.1;  93.0;eor
        691;2022122113;    3;   8.3;  88.0;eor
        691;2022122114;    3;   7.7;  92.0;eor
        691;2022122115;    3;   6.8;  91.0;eor
        691;2022122116;    3;   5.2;  97.0;eor
        691;2022122117;    3;   5.9;  94.0;eor
        691;2022122118;    3;   5.1;  95.0;eor
        691;2022122119;    3;   6.6;  92.0;eor
        691;2022122120;    3;   6.8;  91.0;eor
        691;2022122121;    3;   6.5;  93.0;eor
        691;2022122122;    3;   6.7;  94.0;eor
        691;2022122123;    3;   6.6;  97.0;eor
        691;2022122200;    3;   6.9;  97.0;eor
        691;2022122201;    3;   6.9;  98.0;eor
        691;2022122202;    3;   7.2;  97.0;eor
        691;2022122203;    3;   7.4;  97.0;eor
        691;2022122204;    3;   7.5;  98.0;eor
        691;2022122205;    3;   7.3;  99.0;eor
