hour,total,normalized
0,44733.58923705722,0.135342736485212
1,43074.84332425068,0.04617007923312322
2,42216.010217983654,0.0
3,42262.00613079019,0.0024726980401448273
4,43090.760217983654,0.04702575682570087
5,45369.69277929155,0.16953907886083774
6,50347.9659400545,0.43716647305340706
7,54599.14986376022,0.665706217457537
8,57628.03610354223,0.828536360658108
9,59144.9121253406,0.9100822228311012
10,60087.54972752043,0.9607575548172349
11,60817.51839237057,1.0
12,60293.61648501363,0.971835514494555
13,58992.350817438695,0.9018806669963992
14,57597.50068119891,0.8268948043898172
15,56895.41485013624,0.7891513147501228
16,56786.880790190735,0.7833166233408018
17,57999.678474114444,0.8485155132670315
18,58623.41348773842,0.882046934901048
19,57945.09673024523,0.8455812488322603
20,55597.00817438692,0.7193501640274551
21,53102.4795640327,0.5852465963506668
22,50558.517029972754,0.4484855063244928
23,47303.58583106267,0.2735033936702127
